k1	pc	pwkvn_gloss	indep_hits	mw_body_mention
ApaReya	6-298-a	{#ApaReya#}¦ <ls>BAUDH. 1,10,3</ls> wohl nur fehlerhaft für {#ApaRIya#}.	sch	
ApadevIya	2-294-a	{#ApadevIya#} <lex>n.</lex>, {#Apastambagfhya#} <lex>n.</lex>, {#˚stambaDarma#} <lex>m.</lex>, {#˚stambapUrvaprayoga#} <lex>m.</lex>, {#˚stambaprayoga#} <lex>m.</lex>, {#˚stambaSrOta#} <lex>n.</lex>, {#˚stambasAmAnyasUtr	sch	
Apali	5-249-a	{#Apali#}¦ <lex>m.</lex> {%eine <ab>best.</ab>%} <is>Jaina</is>-{%Secte%} <ls>BHADRAB. 4</ls> in der <ab>Unterschr.</ab> <ab>v. l.</ab>	sch	
AparvaBaNganipuRa	1-297-b	{#AparvaBaNganipuRa#}¦ zu streichen; <ab>vgl.</ab> oben {#aparva˚#}.	sch	
Apattisama	1-297-b	{#Apattisama#}¦ <lex>m.</lex> = {#upapattisama#} <ls>SARVAD. 114,12</ls>.	sch	
Apawaliman	7-386-c	{#Apawaliman#}¦ <lex>m.</lex> {%Röthe%} <ls>CAṆḌĪŚ. 20</ls>.	sch	
ApiSaliSikzA	2-294-a	{#ApiSaliSikzA#}¦ <lex>f.</lex> Titel eines Werkes <ls>OPP. Cat. 1</ls>.	sch	
Apin	4-296-a	{#Apin#}¦ <lex>Adj.</lex> in {#paScApin#}.	sch	
Apolupa	2-294-a	{#Apolupa#}¦ <lex>Adj.</lex> = {#upolapa/#} <ls>KAP. S. 8,3</ls>.	sch	
AptamImAMsAlaMkfti	1-297-b	{#AptamImAMsAlaMkfti#}, {#˚mImAMsAvivfti#} und {#˚mImAMsAvftti#}¦ <lex>f.</lex> Titel von Werken <ls>BÜHLER, Rep. No. 564. fgg.</ls> {#AptA˚#} in den zwei letzten Titeln.	sch	
Aptar	1-297-b	{#Aptar#}¦ in {#anAptar#}.	sch	
AptoryAmahOtra	2-294-a	{#AptoryAmahOtra#}¦ <lex>n.</lex> Titel eines Werkes <ls>OPP. Cat. 1</ls>.	sch	
ApuNKaSiKam	1-297-b	{#ApuNKaSiKam#}¦ <lex>Adv.</lex> {%bis zum untersten Ende des Pfeils%} <ls>NAIṢ. 8,3</ls>.	sch	
ArADanakrama	7-319-b	{#ArADanakrama#}¦ 2.	sch	
ArTat	1-297-c	{#ArTat#}¦ <ls>TĀṆḌYA-BR. 11,8,10</ls>. <ls n="TĀṆḌYA-BR.">13,6,10</ls>. <ls n="TĀṆḌYA-BR. 13,">11,10</ls> fehlerhaft für {#ArCat#}, wie die <ab>Hdschrr.</ab> haben.	sch	
ArUQajAtaka	2-294-b	{#ArUQajAtaka#}¦ <lex>n.</lex> Titel eines Werkes <ls>OPP. Cat. 1</ls>.	sch	
ArUQapatita	6-298-a	{#ArUQapatita#}¦ <lex>Adj.</lex> {%gestiegen und wieder gefallen, rückfällig, zur alten%} (schlechten) {%Lebensweise wieder zurückgekehrt%} <ls>BAUDH. 2,4,24</ls>. <ls>HEMĀDRI 1,40,7</ls>. <ls>NĪLAK.</ls> zu <ls>MBH. 13,	sch	
AraRyakaBawwaBAskara	2-294-a	{#AraRyakaBawwaBAskara#}, {#AraRyakaBAzya#} <lex>n.</lex>, {#AraRyakopanizad#} <lex>f.</lex>, {#AraRyaBAzya#} <lex>n.</lex>, {#AraRyamahAprastAnikA#} (lies {#˚prasTAnikA#}) <lex>f.</lex>, {#AraRyaSikzA#} <lex>f.</lex>, {	sch	
AragvaDamaya	7-319-b	{#AragvaDamaya#}¦ <lex>Adj.</lex> (<lex>f.</lex> {#I#}) {%von der <bot>Cathartocarpus fistula</bot>%} <ls>ĀPAST. GṚHY. 18,7</ls>.	sch	
ArdrIBAva	2-294-b	{#ArdrIBAva#}¦ <lex>m.</lex> {%das Nasswerden%} <ls>DHĀTUP. 26,16</ls>.	sch	
Ari	7-319-b	{#*Ari#}¦ <lex>f.</lex> {%eine%} <is>Khadira</is>-{%Art%} <ls>RĀJAN. 8,30</ls>.	sch	
Arizwa	7-319-b	{#Arizwa#}¦ <ab>v. l.</ab> für {#mArdvIka#} <ls>VIJÑ.</ls> zu <ls>YĀJÑ. 3,253. fg.</ls>	sch	
ArogyApay	7-319-c	{#ArogyApay#}¦ <ab>Caus.</ab> zu {#Arogyay#} <ls>DIVYĀVAD. 128,25</ls>.	sch	
Arogyavant	1-297-c	{#Arogyavant#}¦ <lex>Adj.</lex> {%gesund%} <ls>HEMĀDRI 1,741,5</ls>.	sch	
Arogyay	1-297-c	{#Arogyay#}¦, {#˚yati#} {%salutare, begrüssen%} <ls>DIVYĀV. 52</ls>.	ap	
Aropayitar	7-319-c	{#Aropayitar#}¦ <ab>Nom. ag.</ab> {%der sich Etwas%} (<ab>Acc.</ab>) {%aufsetzt%} <ls>R. ed. Bomb. 3,73,22</ls>.	sch	
Artarava	1-297-c	{#Artarava#}¦ <lex>m.</lex> {%Nothgeschrei%} <ls>DAŚAK. 67,10</ls>.	sch	
Artasvana	1-297-c	{#Artasvana#}¦ <lex>m.</lex> <ab>dass.</ab> <ls>PĀR. GṚHY. 2,11,6</ls>.	sch	
ArtayajYa	3-256-a	{#ArtayajYa/#}¦ <lex>Adj.</lex> {%dessen Opfer gestört worden ist%} <ls>MAITR. S. 2,4,1</ls>.	sch	
Artikara	5-249-b	{#Artikara#}¦ <lex>Adj.</lex> {%Unheil schaffend%} <ls>ĀPAST. ŚR. 12,23,12</ls>.	sch	
AruRaSikzA	7-319-b	{#AruRaSikzA#}¦ 2.	sch	
AryAdviSatI	2-294-b	{#AryAdviSatI#} <lex>f.</lex>, {#AryApaYcASat#} <lex>f.</lex>, {#AryAsvargArohaRaparvan#} <lex>n.</lex> (<ls>MBH.</ls>) und {#AlavandArstotra#} <lex>n.</lex>¦ Titel von Werken <ls>OPP. Cat. 1</ls>.	sch	
AryaKaRqa	7-319-c	{#AryaKaRqa#}¦ <lex>n.</lex> = {#BAratavarza#} <ls>DHARMAŚARMĀBHY. 1,43</ls>.	sch	
AryabrahmaviSezacittaparipfcCA	7-319-c	{#*AryabrahmaviSezacittaparipfcCA#}¦ <lex>f.</lex> Titel eines Werkes <ls>MAHĀVY. 65</ls>.	sch	
AryabudDi	2-294-b	{#AryabudDi#}¦ <lex>Adj.</lex> {%edelmüthig%} <ls><ab>ebend.</ab> 2,111,9</ls>.	sch	
AryadAsI	2-294-b	{#AryadAsI#}¦ <lex>f.</lex> <ab>N. pr.</ab> einer Frau <ls>DAŚAK. (1925) 2,74,11. 13</ls>.	sch	
Aryamati	6-298-a	{#Aryamati#}¦ <lex>Adj.</lex> {%von edler Gesinnung%} <ls>MBH. 1,44,7</ls>.	sch	
AryaputrIya	1-297-c	{#AryaputrIya#}¦ <lex>Adj.</lex> von {#Aryaputra#} <ls>NAIṢ. 9,68</ls>.	sch	
Aryavant	2-294-b	{#Aryavant#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines Mannes <ls>HEM. PAR. 1,288</ls>.	sch	
AsInanyAya	7-320-c	{#AsInanyAya#}¦ <lex>Adj.</lex> {%wobei die sitzende Stellung als Regel dient%} <ls>ŚĀṄKH. ŚR. 1,1,15</ls>.	sch	
AsTI	7-320-c	{#AsTI#}¦ <lex>Adv.</lex> <ab>s.</ab> oben {#asTI#}.	sch	
Asahasrakftvas	1-298-a	{#Asahasrakf/tvas#}¦ <lex>Adj.</lex> {%bis tausend Mal%} <ls>TAITT. ĀR. 4,28,1</ls>.	sch	
AsaktivAda	2-294-b	{#AsaktivAda#} <lex>m.</lex> und {#AsanADyAya#} <lex>m.</lex>¦ Titel von Werken <ls>OPP. Cat. 1</ls>.	sch	
AsanADyAya	7-320-c	{#AsanADyAya#}¦ 2.	sch	
Asanapawwa	3-256-a	{#Asanapawwa#}¦ <lex>m.</lex> {%ein flacher Sitz%}.	sch	
AsapARqu	6-298-b	{#AsapARqu#}¦ <lex>Adj.</lex> {%weiss von Asche%} <ls>J. A. O. S. 11, CXLV.</ls>	sch	
Asaritaka	7-386-d	{#Asaritaka#}¦ <lex>n.</lex> <ab>term. techn.</ab> in der Musik <ls><ab>ebend.</ab> 218</ls>.	sch	
AspadI	5-249-c	{#AspadI#}¦ mit {#kar#} <ls>HEM. PAR. 2,388</ls>.	sch	
AsurakARqa	2-294-b	{#AsurakARqa#}¦ Titel eines Werkes (<ls>MBH.</ls>) <ls>OPP. Cat. 1</ls>.	sch	
AsyasaMmita	4-296-b	{#AsyasaMmita#}¦ <lex>Adj.</lex> {%der Höhe des Mundes entsprechend%} <ls>ĀŚV. ŚR. 1,7,6</ls>.	sch	
Atas	2-293-c	{#Atas#}¦ (<hom>1.</hom> {#A#} + {#atas#}) <lex>Adv.</lex> mit angefügtem {#ca#} {%und zwar aus folgendem Grunde%} <ls>MAHĀBH. (K.) 12,27</ls>. <ls n="MAHĀBH. (K.)">81,4</ls>. <ls n="MAHĀBH. (K.)">95,16</ls>. <ls n="MAHĀ	sch	
AtmArpaRa	2-293-c	{#AtmArpaRa#} <lex>n.</lex> und {#˚Sruti#} <lex>f.</lex>¦ Titel von Werken <ls>OPP. Cat. 1</ls>.	sch	
AtmArpaRaSruti	7-317-d	{#AtmArpaRaSruti#}¦ 2.	sch	
AtmIyadeSa	3-255-c	{#AtmIyadeSa#}¦ <lex>m.</lex> {%Heimat%} <ls>KATHĀS. 18,393</ls>.	sch	
AtmIyajAtya	2-293-c	{#AtmIyajAtya#}¦ <lex>Adj.</lex> {%des eigenen Geschlechts, seines Gleichen%} <ls>PAÑCAT. 63,24</ls>.	sch	
AtmaBaya	4-296-a	{#AtmaBaya#}¦ <lex>n.</lex> {%Angst für sein Leben%} <ls>KATHĀS. 5,86</ls>.	sch	
AtmaSlAGAkara	5-249-a	{#AtmaSlAGAkara#}¦ <lex>Adj.</lex> in {#anAtma˚#}.	sch	
AtmaSlAGana	6-297-c	{#AtmaSlAGana#} <lex>n.</lex> oder {#˚nA#} <lex>f.</lex>¦ (<ab>adj. Comp.</ab> <lex>f.</lex> {#A#}) {%Selbstlob%} <ls>SĀH. D. 135</ls>.	sch	
AtmajYAnopadeSa	2-293-c	{#AtmajYAnopadeSa#}¦ <lex>m.</lex> Titel eines Werkes <ls>OPP. Cat. 1</ls>.	sch	
AtmaprakASikAvivaraRa	7-317-c	{#AtmaprakASikAvivaraRa#}¦ 2.	sch	
AtmapriyA	7-317-c	{#AtmapriyA#}¦ 2.	sch	
AtmarUpa	5-249-a	{#AtmarUpa/#}¦ <lex>n.</lex> {%die eigene Schönheit%} <ls>TS. 6,1,6,1</ls>.	sch	
AtmasaMBAvita	7-386-c	{#AtmasaMBAvita#}¦ <lex>Adj.</lex> {%von sich selbst eingenommen%} <ls>BHAG. 16,17</ls>.	sch	
AtmasaMsTA	6-298-a	{#AtmasaMsTA#}¦ <lex>f.</lex> {%das Verweilen —, Verbleiben bei sich%} (auf das Subject des Satzes sich beziehend) <ls>MBH. 5,38,2</ls>. <ls n="MBH.">13,17,159</ls>.	sch	
Atmasnehamaya	7-317-d	{#Atmasnehamaya#}¦ <lex>Adj.</lex> {%in Selbstliebe —, in Selbstsucht bestehend%} <ls>JĀTAKAM. 1,20</ls>.	sch	
AtmatvajAtisidDivAda	2-293-c	{#AtmatvajAtisidDivAda#} <lex>m.</lex>, {#AtmaprakASikAvivaraRa#} <lex>n.</lex> und {#AtmapriyA#} <lex>f.</lex>¦ Titel von Werken <ls>OPP. Cat. 1</ls>.	sch	
AtmavikatTana	5-249-a	{#AtmavikatTana#}¦ <lex>n.</lex> {%Prahlerei%}. <ab>Pl.</ab> <ls>Verz. d.Oxf. H. 185, b, 6</ls>.	sch	
Atmotkarza	7-317-d	{#Atmotkarza#}¦ I. *<lex>Adj.</lex> {%an Selbstüberhebung leidend%} <ls>MAHĀVY. 127</ls>.	sch	
AtreyaSikzA	7-317-d	{#AtreyaSikzA#} und {#AtreyasaMhitA#}¦ 2.	sch	
Attaretas	3-255-c	{#A/ttaretas#}¦ <lex>Adj.</lex> {%des Samens beraubt%} <ls>TS. 7,1,1,2</ls>.	sch	
AvAmadevyam	1-297-c	{#AvAmadevyam#}¦ <lex>Adv.</lex> {%mit Einschluss des%} <is>Vāmadevya</is> <ls>ŚĀṄKH. GṚHY. 6,2</ls>.	sch	
AvaleKana	5-249-b	{#AvaleKana#}¦ <lex>Adj.</lex> (<lex>f.</lex> {#I#}) {%aus einem <ab>best.</ab> Stoffe gemacht%} <ls>J. A. O. S. Procc. 1883, Oct. VIII.</ls>	sch	
AvarItar	7-319-d	{#AvarItar#}¦ I. {%Umhüller, Bedecker%} <ls>KIR. 18,40</ls>.	sch	
AvarRI	2-294-b	{#AvarRI#} <lex>f.</lex> und {#˚SikzA#} <lex>f.</lex>¦ Titel von Werken <ls>OPP. Cat. 1</ls>.	sch	
Avarjanakara	7-319-d	{#Avarjanakara#}¦ <lex>Adj.</lex> (<lex>f.</lex> {#I#}) {%für sich gewinnend, imponirend%} <ls>DIVYĀVAD. 133,9</ls>. <ls n="DIVYĀVAD.">192,8</ls>. <ls n="DIVYĀVAD.">313,15</ls>.	sch	
AvasaTI	7-320-a	{#AvasaTI#}¦ <lex>Adv.</lex> mit {#kar#} {%zum Wohnsitz machen%} <ls>JĀTAKAM. 27,31</ls>.	sch	
AvasaTavAsin	5-249-b	{#AvasaTavAsi/n#}¦ <lex>Adj.</lex> {%im Hause übernachtend%} <ls>ŚAT. BR. 12,4,4,6</ls>.	sch	
Avftatva	5-249-b	{#Avftatva#}¦ <lex>n.</lex> {%das Geschlossensein%} (einer Thür) [Page5-249-c] <ls>PAÑCAT. 195,8</ls>.	sch	
AviSam	1-297-c	{#Avi/Sam#}¦, lies 〔2,24,6〕.	sch	
AvirBUtatva	5-249-b	{#AvirBUtatva#}¦ <lex>n.</lex> {%das Offenbargewordensein, Erscheinung%} <ls>SĀY.</ls> zu <ls>ṚV. 8,29,1</ls>.	sch	
AvirBUya	1-297-c	{#AvirBU/ya#}¦ <lex>Adj.</lex> {%das Offenbarwerden%} <ls>MAITR. S. 1,8,6</ls>.	sch	
AvizpfzWa	1-297-c	{#Avi/zpfzWa#}¦ <lex>Adj.</lex> {%dessen Rücken sichtbar ist%} <ls>MAITR. S. 1,10,7</ls>.	sch	
Avraskya	2-294-b	{#Avraskya#}¦ <lex>m.</lex> {%ein abgeschnittenes Holzstück%} <ls>ĀPAST. ŚR. 15,5,11</ls>.	sch	
AwarUzaka	7-317-b	{#AwarUzaka#}¦ I. <ls>MBH. 7,23,74</ls>.	sch	
Awavakayakza	7-317-b	{#*Awavakayakza#}¦ <lex>m.</lex> <ab>Bez.</ab> {%eines <ab>best.</ab>%} <is>Yakṣa</is> <ls>MAHĀVY. 169</ls>.	sch	
AyAmatA	7-319-a	{#AyAmatA#}¦ <lex>f.</lex> {%Höhe%} <ls>Ind. Antiq. 1887, S. 64, V. 7</ls>.	sch	
AyattI	4-296-a	{#AyattI#}¦ <lex>Adv.</lex> mit {#kar#} {%abhängig machen, in Abhängigkeit erhalten%} <ls>RĀJAT. 4,680</ls>.	sch	
AyuHpatnI	4-296-a	{#AyuHpatnI#}¦ <lex>f.</lex> = {#AyuzpatnI#} <ls>ĀPAST. ŚR. 6,21,1</ls>.	sch	
BARqya	5-262-b	{#BARqya#}¦ <lex>n.</lex> {%Possenreisserei%} <ls>SUBHĀṢITĀV. 771</ls>.	sch	
BAgAnuBAga	5-262-b	{#BAgAnuBAga#}¦ <ab>Instr.</ab> {%mit grösserem oder geringerem Antheil, in verschiedenem Verhältniss%} <ls>MBH. 3,276,8</ls>.	sch	
BAnutanayA	5-262-b	{#BAnutanayA#}¦ <lex>f.</lex> <ab>Patron.</ab> der <is>Yamunā</is> <ls>ŚIŚ. 13,25</ls>.	sch	
BAtkUwa	5-262-b	{#*BAtkUwa#}¦ <lex>m.</lex> <ab>v. l.</ab> für {#BAkUwa#} <ls>ZACH. Beitr.</ls>	sch	
BAvaBawa	7-365-b	{#*BAvaBawa#}¦ <lex>m.</lex> <ab>N. pr.</ab> <ls>MAHĀVY. 177,7</ls> fehlerhaft für {#vAgBawa#}.	sch	
BAvayatI	5-262-b	{#BAvayatI#}¦ <lex>Adv.</lex> mit {#BU#} {%wie ein wirklicher Asket zu leben anfangen%} <ls>HEM. PAR. 1,443</ls>. <ls n="HEM. PAR. 1,">458</ls>. <ls n="HEM. PAR.">2,184</ls>.	sch	
BUyizWatA	5-262-c	{#BUyizWatA#}¦ <lex>f.</lex> {%grosse Anzahl%} <ls>ŚIŚ. 12,11</ls>.	sch	
BagnacCandas	6-304-c	{#BagnacCandas#}¦ <lex>Adj.</lex> {%metrisch fehlerhaft%} <ls>SARASVATĪK. 9,2</ls> <ab>v. u.</ab>	sch	
Bagnayati	6-304-c	{#Bagnayati#}¦ <lex>Adj.</lex> {%eine falsche Cäsur enthaltend%} <ls>SARASVATĪK. 10,3</ls>.	sch	
Baktimahant	7-364-c	{#Baktimahant#}¦ <lex>Adj.</lex> = {#Baktimant#} 1〉 <ls>DIVYĀVAD. 433,11</ls>.	sch	
BaktottarikA	7-364-c	{#BaktottarikA#}¦ <lex>f.</lex> {%köstliche Bewirthung%} <ls>DIVYĀVAD. 284,21</ls>. <ls n="DIVYĀVAD.">285,15. fgg.</ls>	sch	
BartfBawwa	5-262-a	{#BartfBawwa#}¦ <lex>m.</lex> <ab>N. pr.</ab> = {#BartfmeRWa#} <ls>M. MÜLLER, Ren. 314</ls>.	sch	
BayaSaNkita	6-304-c	{#BayaSaNkita#}¦ <lex>Adj.</lex> {%in Furcht und Besorgniss seiend%} <ls>MBH. 12,133,14</ls>.	sch	
BogipurI	7-365-d	{#BogipurI#}¦ <lex>f.</lex> {%die Stadt der%} <is>Nāga</is> <ls>DHARMAŚARM. 1,62</ls>.	sch	
Bramaraketu	5-262-c	{#Bramaraketu#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines <is>Rākṣasa</is> <ls>UTTAMAC. 31. fgg.</ls>	sch	
CAyApatti	7-342-b	{#CAyApatti#}¦ <lex>f.</lex> {%das Auffallen des Abbildes%} (des Geistes auf das Innenorgan) <ls>SĀṂKHYATATTVAK.</ls> zu <ls>KĀRIKĀ 5</ls>. [Page7-342-c] <ls>ANIRUDDHA</ls> zu <ls>SĀṂKHYAS. 1,99</ls>. <ls n="SĀṂKHYAS. 1,	sch	
CAyApuruzAvaboDana	7-342-c	{#CAyApuruzAvaboDana#}¦ 2.	sch	
CaRqIkalpa	7-342-b	{#CaRqIkalpa#}¦ (nicht {#CandI˚#}) 2.	sch	
CaRqikAvArika	7-342-b	{#*CaRqikAvArika#}¦ <lex>m.</lex> {%ein <ab>best.</ab> Klosterdiener%} <ls>MAHĀVY. 274,20</ls>.	sch	
CadiHsaMmita	4-299-a	{#CadiH/saMmita#}¦ <lex>Adj.</lex> {%einer Decke entsprechend%} <ls>ŚAT. BR. 3,5,3,9</ls>.	sch	
Cadizmant	4-299-a	{#Cadizmant#}¦ <lex>Adj.</lex> {%ein Verdeck habend%} (Wagen) <ls>ĀPAST. ŚR. 10,24,2</ls>.	sch	
Calamaya	7-387-d	{#Calamaya#}¦ <lex>Adj.</lex> {%verstellt%} <ls>CAṆḌĪŚ. 22</ls>.	sch	
CandaHSloka	7-342-b	{#CandaHSloka#}, {#CandogAna#} und {#CandodarpaRa#}¦ 2.	sch	
CandadAyaka	7-342-b	{#*CandadAyaka#}¦ <lex>Adj.</lex> {%seine Zustimmung gebend%} <ls>MAHĀVY. 281,207</ls>.	sch	
CandapariSudDi	7-342-b	{#*CandapariSudDi#}¦ <lex>f.</lex> {%wohlüberlegte Willensäusserung%} <ls>MAHĀVY. 265,19</ls>.	sch	
CandapratyudDAra	7-342-b	{#*CandapratyudDAra#}¦ <lex>m.</lex> {%Zurückziehung seiner Stimme, Aufhebung eines Beschlusses%} <ls>MAHĀVY. 261,57</ls>.	sch	
CandavAsin	7-342-b	{#*CandavAsin#}¦ <lex>Adj.</lex> {%nach Belieben seine Wohnung wählend%} <ls>MAHĀVY. 281,248</ls>.	sch	
CandoBaNgavant	6-301-b	{#CandoBaNgavant#}¦ <lex>Adj.</lex> {%metrisch fehlerhaft%} <ls>SARASVATĪK. 9,2</ls> <ab>v. u.</ab>	sch	
CinnamastakI	5-254-b	{#CinnamastakI#}¦ <lex>Adv.</lex> mit {#kar#} {%enthaupten%} <ls><ab>Comm.</ab> zu NAIṢ. 4,68</ls>.	sch	
Cinnaplotika	7-342-c	{#*Cinnaplotika#}¦ <lex>Adj.</lex> {%offen vor Einem liegend%} <ls>MAHĀVY. 63,27</ls>.	sch	
CurikAlakzaRa	7-342-c	{#CurikAlakzaRa#}¦ 2.	sch	
DAmavant	3-264-c	{#DAmavant#}¦ <lex>Adj.</lex> {%mächtig, kräftig%} <ls>KIR. 1,43</ls>.	sch	
DAtavIya	7-388-b	{#DAtavIya#}¦ <lex>Adj.</lex> {%aus Erzen bestehend%} <ls><ab>ebend.</ab> 2,50</ls>.	sch	
DAyina	7-350-d	{#DAyina#}¦ (?) <ls>KAUŚ. 34,10</ls>.	sch	
DIrI	7-351-a	{#DIrI#}¦ <lex>Adv.</lex> mit {#kar#} {%ermuthigen%} <ls>JĀTAKAM. 14</ls>.	sch	
DUNkzRA	6-302-c	{#DUNkzRA#}¦ <lex>f.</lex> <ls>TS. 5,5,19,1</ls> nach dem <ab>Comm.</ab> {%eine weisse Krähe%}.	sch	
Danav	5-256-c	{#Danav#}¦ (von {#Danavant#}), {#˚vati#} {%reich werden%} <ls>KULĀRṆAVA 9,60</ls>.	sch	
DanvArti	7-350-b	{#DanvArti/#}¦ <lex>f.</lex> {%Bogenende%} <ls>MAITR. S. 4,5,9 (77,3. 7)</ls>. <ab>Vgl.</ab> <hom>3.</hom> {#Arti#}.	sch	
Darm	5-257-a	{#Darm#}¦, {#Darmati#} {%zu Recht —, zum Gesetz werden%} <ls>KULĀRṆAVA 9,59</ls>.	pwg	
DarmaDvajavant	7-350-c	{#DarmaDvajavant#}¦ <lex>Adj.</lex> = {#DarmaDvaja#} 1〉b〉 <ls>MBH. 7,195,4</ls>.	sch	
DarmakAmArTasaMbanDa	7-388-b	{#DarmakAmArTasaMbanDa#}¦ <lex>m.</lex> so <ab>v. a.</ab> {%Eheschliessung%} <ls>MBH. 1,74,20</ls>.	sch	
DarmaviroDavant	5-257-a	{#DarmaviroDavant#}¦ <lex>Adj.</lex> {%das Recht beeinträchtigend, alles Recht verletzend%} <ls>R. ed. Bomb. 2,36,29</ls>.	sch	
DarmigrAhakamAna	7-350-d	{#DarmigrAhakamAna#}¦ <lex>n.</lex> {%ein Beweismittel, welches ein Object in der bestimmten Eigenschaft erkennen lässt,%} <ls>SĀṂKHYAPR. 59,3</ls>.	sch	
Dayadvant	6-302-b	{#Dayadvant#}¦ <ls>ĀPAST. ŚR. 14,18,5</ls>.	sch	
DunDumant	3-264-c	{#DunDumant#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines Sohnes des <is>Kevala</is> <ls>VP. 4,1,19</ls> (<ls n="VP. 4,1,">20</ls>). {#banDumant#} <ab>v. l.</ab>	sch	
DvAjavadAyani	5-257-b	{#*DvAjavadAyani#}¦ <lex>m.</lex> <ab>Patron.</ab> von {#DvAjavada#} <ls><ab>ebend.</ab></ls>	sch	
DvAjavatAyani	5-257-b	{#*DvAjavatAyani#}¦ <lex>m.</lex> <ab>Patron.</ab> von {#DvAjavata#} <ls><ab>ebend.</ab></ls>	sch	Y
DvAjavata	5-257-a	{#*DvAjavata#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines Mannes <is>gaṇa</is> {#tikAdi#} [Page5-257-b] in der <ls>KĀŚ.</ls>	sch	Y
DvanilAlA	5-257-a	{#*DvanilAlA#} und {#*DvanilIlA#}¦ <lex>f.</lex> <ab>v. l.</ab> für {#DvaninAlA#} <ls>ZACH. Beitr. 92</ls>.	sch	
DyAmalI	7-351-b	{#DyAmalI#}¦ <lex>Adv.</lex> mit {#kar#} {%schmutzig machen, verunreinigen%} <ls><ab>ebend.</ab> 5,39</ls>.	sch	
EcCantika	7-328-a	{#*EcCantika#}¦ <lex>Adj.</lex> <ls>MAHĀVY. 110</ls>. Vielleicht fehlerhaft für {#EcCAntika#}.	sch	
EhilOkika	2-296-c	{#EhilOkika#}¦ <lex>Adj.</lex> = {#EhalOkika#} <ls>HEM. PAR. 3,184</ls>.	sch	
EkEkaSya	3-258-b	{#EkEkaSya#}¦ <ls><ab>Comm.</ab> zu ĀPAST. ŚR. 7,27,16</ls>.	sch	
EndriyAvata	2-296-c	{#EndriyAvata#}¦ <lex>Adj.</lex> {%an%} <is>Indra Indriyāvant</is> {%gerichtet%} <ls><ab>Comm.</ab> zu ĀPAST. ŚR. 3,15,9</ls>.	sch	
EqAdaDIya	2-296-c	{#EqAdaDIya#}¦ <lex>Adj.</lex> von {#EqAdaDa#} <ab>Comm.</ab> <ls><ab>ebend.</ab></ls>	sch	
ErAvant	3-258-b	{#ErAvant#}¦ angeblich = {#irAvant#} und dieses = {#irA#} <ls>GṚHYAS. 2,10</ls>.	sch	
EraRqa	5-251-a	{#EraRqa#}¦ *<lex>n.</lex> {%die Wurzel des langen Pfeffers%} <ls>DEŚĪN. 1,120</ls>.	sch	
GaNGaSAlA	5-254-a	{#GaNGaSAlA#}¦ <lex>f.</lex> {%ein Gebäude ohne Fenster%} <ls>ŚĪLĀṄKA 1,415</ls>.	sch	
GfRAvant	6-301-a	{#GfRAvant#}¦ <lex>Adj.</lex> {%ekelhaft%} <ls>SARASVATĪK. 6, <is n="Śloka">Śl.</is> 17</ls>.	sch	
GowapAlaka	3-261-c	{#GowapAlaka#}¦ <ls>CAURAP. (A.) 63</ls> fehlerhaft für {#kowwapAlaka#}.	sch	
ISAvAsyaKaRqana	2-295-a	{#ISAvAsyaKaRqana#}¦ <lex>n.</lex> Titel eines Werkes <ls>OPP. Cat. 1</ls>.	sch	
ISaka	1-298-b	{#ISaka#}¦ <lex>m.</lex> <is>Śiva</is>. <ab>Loc.</ab> so <ab>v. a.</ab> {%in Nordost%} <ls>AGNI-P. 43,3</ls>.	sch	
ISvaraSataka	1-298-b	{#ISvaraSataka#}¦ <lex>n.</lex> Titel eines Werkes <ls>BÜHLER, Rep. No. 109</ls>.	sch	
ISvaradIkzita	2-295-a	{#ISvaradIkzita#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines Autors. {#˚tIya#} <lex>n.</lex> Titel seines Werkes <ls>OPP. Cat. 1</ls>.	sch	
ISvarasuKavAda	2-295-a	{#ISvarasuKavAda#}¦ <lex>m.</lex> Titel eines Werkes <ls>OPP. Cat. 1</ls>.	sch	
IhAvant	6-298-c	{#IhAvant#}¦ <lex>Adj.</lex> {%strebsam, tapfer%} <ls>ŚIŚ. 19,33</ls>.	sch	
Ijya	2-295-a	{#Ijya#}¦ <ls>MBH. 7,9458</ls> fehlerhaft für {#Iqya#}.	sch	
IkzAraRyamAhAtmya	2-295-a	{#IkzAraRyamAhAtmya#}¦ <lex>n.</lex> Titel eines Werkes <ls>OPP. Cat. 1</ls>.	sch	
Ilay	4-296-b	{#Ilay#}¦, {#Ila/yati#} {%sich bewegen%} <ls>TS. 6,4,2,6</ls>. <ab>Vgl.</ab> <ab>Caus.</ab> von {#Ir#}.	sch	
Iyakz	3-256-b	{#Iyakz#}¦, {#I/yakzamARa#} = {#i/yakzamARa#} <ls>MAITR. S. 2,10,6</ls>.	sch	
Izatpramaya	4-296-b	{#*Izatpramaya#}¦ vielleicht auch {%leicht zu messen%}.	sch	
