k1	pc	pwkvn_gloss	indep_hits	mw_body_mention
AsParaRakasamADi	7-320-c	{#*AsParaRakasamADi#}¦ <lex>m.</lex> {%ein <ab>best.</ab> Grad des%} <is>Samādhi</is> <ls>MAHĀVY. 67</ls>.	bhs,sch	
AtaptakArin	7-317-c	{#*AtaptakArin#}¦ <lex>Adj.</lex> {%eifrig zu Werke gehend%} <ls>MAHĀVY. 98</ls>.	bhs,sch	
Banda	5-262-a	{#*Banda#}¦ <ls>ZACH. Beitr.</ls>	sch,vcp	
BiRqipAla	7-365-b	{#*BiRqipAla#}¦ <ls>MAHĀVY. 238,33</ls> fehlerhaft für {#Bindi˚#}.	bhs,sch	
BrUkuwika	7-366-a	{#*BrUkuwika#}¦ am Ende eines <ab>adj. Comp.</ab> = {#BrUkuwi#} <ls>MAHĀVY. 126,56</ls>.	bhs,sch	
DanuzkalApaka	7-350-b	{#*DanuzkalApaka#}¦ <lex>m.</lex> (!) {%Bogen und Köcher%} <ls>MAHĀVY. 217,33</ls>.	bhs,sch	
DanuzketakI	7-350-b	{#*DanuzketakI#}¦ <lex>f.</lex> {%eine <ab>best.</ab> Blume%} <ls>MAHĀVY. 240,34</ls>.	bhs,sch	
EhipaSyika	7-328-b	{#*EhipaSyika#}¦ <lex>Adj.</lex> {%zur Selbstüberzeugung auffordernd%} <ls>MAHĀVY. 63</ls>.	bhs,sch	
Gowakamfga	7-340-a	{#*Gowakamfga#}¦ <lex>m.</lex> {%ein <ab>best.</ab> Thier%} <ls>MAHĀVY. 213,29</ls>. <ab>Vgl.</ab> {#gOqakamfga#}.	bhs,sch	
IzADara	7-322-a	{#*IzADara#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines mythischen Berges <ls>MAHĀVY. 194</ls> ({#ISADara#} und {#izADAra#}). {#˚rA#} <lex>f.</lex> <ls>DIVYĀVAD. 217,14</ls>.	bhs,sch	
KARu	7-336-c	{#*KARu#}¦ (aus {#sTARu#}) <lex>m.</lex> {%Baumstumpf%} <ls>MAHĀVY. 245,564</ls>.	bhs,sch	
KAdyakacAraka	7-336-c	{#*KAdyakacAraka#}¦ <lex>m.</lex> <ab>Bez.</ab> {%eines <ab>best.</ab> Dieners im Kloster%} <ls>MAHĀVY. 274,4</ls>.	bhs,sch	
KaYjAhva	7-336-b	{#*KaYjAhva#}¦ <lex>m.</lex> {%Bachstelze%} <ls>MAHĀVY. 213,140</ls>.	bhs,sch	
KalupaScAdBaktika	7-336-c	{#*KalupaScAdBaktika#}¦ <lex>Adj.</lex> {%dem es verboten ist%} ({#Kalu#}) {%ein zweites Mahl zu sich zu nehmen%} <ls>MAHĀVY. 49</ls>.	bhs,sch	
KamBIrapati	7-336-b	{#*KamBIrapati#}¦ (?) <lex>m.</lex> <ls>MAHĀVY. 186,33</ls>.	bhs,sch	
KaruKarA	7-336-c	{#*KaruKarA#}¦ <lex>f.</lex> = {#KuraKurA#} <ls>MAHĀVY. 192</ls>.	bhs,sch	
UrDvaBAgIya	7-326-c	{#*UrDvaBAgIya#}¦ <lex>Adj.</lex> {%zu Höherem —, zur Wiedergeburt in höherer Stellung führend%} <ls>MAHĀVY. 109</ls>.	bhs,sch	
aBilapanatA	7-306-b	{#*aBilapanatA#}¦ <lex>f.</lex> wohl {%Geschwätzigkeit%} <ls>MAHĀVY. 138</ls>.	bhs,sch	
aBinamana	7-305-d	{#*aBinamana#}¦ <lex>n.</lex> {%ehrfurchtsvolles Verbeugen%} <ls>MAHĀVY. 97</ls>.	bhs,sch	
aBisamitAvin	7-306-c	{#*aBisamitAvin#}¦ <lex>Adj.</lex> {%klar —, gründlich erkennend%} <ls>MAHĀVY. 142</ls>.	bhs,sch	
aBizecanI	7-306-c	{#*aBizecanI#}¦ <lex>f.</lex> {%eine <ab>best.</ab>%} <is>Dhāraṇī</is> <ls>MAHĀVY. 25</ls>.	bhs,sch	
aNgulIPaRahastaka	4-291-a	{#*aNgulIPaRahastaka#}¦ <lex>Adj.</lex> {%klumphändig%} <ls>VYUTP. 204</ls>.	bhs,sch	
aSrAmaRya	7-313-b	{#*aSrAmaRya#}¦ <lex>n.</lex> {%Mangel an Ehrfurcht vor%} <is>Śramaṇa</is> <ls>MAHĀVY. 127</ls>.	bhs,sch	
aSuBaBAvanA	7-313-b	{#*aSuBaBAvanA#}¦ <lex>f.</lex> {%fromme Betrachtungen über das Unerfreuliche des Lebens%} <ls>MAHĀVY. 52</ls> in der <ab>Unterschr.</ab>	bhs,sch	
aYjanika	1-284-a	{#*aYjanika#}¦ <is>gaṇa</is> {#purohitAdi#}.	sch,pwg	
abrajas	7-305-b	{#*abrajas#}¦ <lex>n.</lex> {%ein überaus kleines Theilchen%} <ls>MAHĀVY. 251</ls>.	bhs,sch	
ajabanDu	1-284-a	{#*ajabanDu#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines Mannes <ls>KĀŚ.</ls> zu <ls>P. 4,1,96</ls>.	sch,vcp	
amAtfjYa	7-307-b	{#*amAtfjYa#}¦ <lex>Adj.</lex> {%undankbar gegen die Mütter%} <ls>MAHĀVY. 127</ls>.	bhs,sch	
amanasikAra	7-307-b	{#*amanasikAra#}¦ <lex>m.</lex> {%Nichtbeachtung%} <ls>MAHĀVY. 68</ls>. <ls n="MAHĀVY.">70</ls>.	bhs,sch	
aneza	1-290-a	{#*aneza#}¦ (<ab>Nom.</ab> {#˚s#}) {%nicht dieser hier%} <ls>P. 6,1,132</ls>, <ab>Sch.</ab>	bhs,sch	
aprapaYca	7-304-d	{#*aprapaYca#}¦ <lex>Adj.</lex> wohl {%unerklärlich, unerklärt%} <ls>MAHĀVY. 144</ls>.	bhs,sch	
apratiSaraRa	7-304-c	{#*apratiSaraRa#}¦ <lex>Adj.</lex> {%unverbrüchlich%} <ls>MAHĀVY. 63</ls>.	bhs,sch	
apratipudgala	7-304-b	{#*apratipudgala#}¦ <lex>m.</lex> {%ein%} <is>Buddha</is> <ls>MAHĀVY. 1</ls>.	bhs,sch	
apratisama	7-304-c	{#*apratisama#}¦ <lex>Adj.</lex> {%unvergleichlich%} <ls>MAHĀVY. 19</ls>. <ls n="MAHĀVY.">128</ls>.	bhs,sch	
aprativirata	7-304-c	{#*aprativirata#}¦ <lex>Adj.</lex> {%sich nicht enthaltend%} (böser Handlungen) <ls>MAHĀVY. 245,893</ls>.	bhs,sch	
apratyudAvartya	7-304-d	{#*apratyudAvartya#}¦ <lex>Adj.</lex> {%unverbrüchlich%} <ls>MAHĀVY. 278</ls>.	bhs,sch	
apratyudDArya	7-385-d	{#*apratyudDArya#}¦ <lex>Adj.</lex> {%unwiderbringlich%} <ls>MAHĀVY. 278</ls>.	bhs,sch	
arDuzwa	7-309-d	{#*arDuzwa#}¦ <lex>Adj.</lex> = {#aDyuzwa#} <ls>MAHĀVY. 250</ls>.	bhs,sch	
araRasamavasaraRa	7-308-b	{#*araRasamavasaraRa#}¦ <lex>m.</lex> und {#*araRasaraRasarvasamavasaraRa#} <lex>m.</lex> <ab>Bez.</ab> {%zweier%} <is>Samādhi</is> <ls>MAHĀVY. 21</ls>.	bhs,sch	
arajovirajonayayukta	7-308-b	{#*arajovirajonayayukta#}¦ <lex>m.</lex> {%ein <ab>best.</ab>%} <is>Samādhi</is> <ls>MAHĀVY. 21</ls>.	bhs,sch	
aravAqa	7-308-c	{#*aravAqa#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines Schlangendämons <ls>MAHĀVY. 167</ls>.	bhs,sch	
arpaRA	7-309-d	{#*arpaRA#}¦ <lex>f.</lex> {%Richtung der Gedanken, Entschluss%} <ls>MAHĀVY. 245,1021</ls>.	bhs,sch	
asaMpraKyAna	7-314-d	{#*asaMpraKyAna#}¦ <lex>n.</lex> vielleicht {%Mangel an Einsicht%} <ls>MAHĀVY. 127</ls>. <ls n="MAHĀVY.">133</ls>.	bhs,sch	
asaMprajYAna	7-314-d	{#*asaMprajYAna#}¦ <lex>n.</lex> {%Nichterkenntniss%} <ls>MAHĀVY. 245,488</ls>.	bhs,sch	
asaMprajanya	7-314-d	{#*asaMprajanya#}¦ <lex>n.</lex> {%Mangel an klarem Bewusstsein, — Besonnenheit%} <ls>MAHĀVY. 104</ls>.	bhs,sch	
asamayavimukta	7-314-c	{#*asamayavimukta#}¦ <lex>Adj.</lex> <ab>Bez.</ab> {%eines%} <is>Śrāvaka</is> {%in einem <ab>best.</ab> Stadium der geistigen und sittlichen Entwickelung%} <ls>MAHĀVY. 46</ls>.	bhs,sch	
avaga	7-310-c	{#*avaga#}¦ <lex>n.</lex> {%eine bestimmte hohe Zahl%} <ls>MAHĀVY. 246. fg.</ls>	bhs,sch	
avakalpanA	7-310-b	{#*avakalpanA#}¦ <lex>f.</lex> {%das für möglich Halten%} <ls>MAHĀVY. 245</ls>.	bhs,sch	
avamUrDa	7-310-d	{#*avamUrDa#}¦ <lex>m.</lex> <ab>N. pr.</ab> einer mythischen Welt <ls>MAHĀVY. 154</ls>.	bhs,sch	
avaragodAnIya	7-311-a	{#*avaragodAnIya#}¦ <ls>MAHĀVY. 154</ls> fehlerhaft für {#apara˚#}.	bhs,sch	
avinivartanIya	7-312-a	{#*avinivartanIya#}¦ <lex>m.</lex> {%ein <ab>best.</ab>%} <is>Samādhi</is> <ls>MAHĀVY. 24</ls>.	bhs,sch	
avirajas	7-312-b	{#*avirajas#}¦ <lex>n.</lex> {%ein <ab>best.</ab> kleines Theilchen%} <ls>MAHĀVY. 251</ls>.	bhs,sch	
bfMhayitar	7-364-a	{#*bfMhayitar#}¦ <ab>Nom. ag.</ab> {%Vermehrer%} <ls>MAHĀVY. 126,88</ls>.	bhs,sch	
boDipakzanirdeSa	7-364-b	{#*boDipakzanirdeSa#}¦ <lex>m.</lex> Titel eines <ab>buddh.</ab> Werkes <ls>MAHĀVY. 65,57</ls>.	bhs,sch	
cApodara	7-341-b	{#*cApodara#}¦ <lex>Adj.</lex> (<lex>f.</lex> {#I#}) {%einen gewölbten Bauch habend%} <ls>MAHĀVY. 223,133</ls> ({#˚danI#} <ab>gedr.</ab>).	bhs,sch	
cAturdvIpaka	7-341-a	{#*cAturdvIpaka#}¦ <lex>Adj.</lex> {%vier Welttheile umfassend%} <ls>MAHĀVY. 154,1</ls>.	bhs,sch	
cEtanaka	7-342-a	{#*cEtanaka#}¦ <lex>n.</lex> <ab>Pl.</ab> {%Gelder oder Werthsachen zum Einkaufen oder Eintauschen%} <ls>MAHĀVY. 260,10</ls>.	bhs,sch	
cEtradaRqika	7-342-a	{#*cEtradaRqika#}¦ <lex>m.</lex> <ls>MAHĀVY. 186,65</ls> wohl fehlerhaft für {#vetra˚#}.	bhs,sch	
catuzkumBikA	7-340-c	{#*catuzkumBikA#}¦ <lex>f.</lex> ? <ls>MAHĀVY. 281,111</ls>.	bhs,sch	
digvilokita	7-348-a	{#*digvilokita#}¦ <lex>m.</lex> {%ein <ab>best.</ab>%} <is>Samādhi</is> <ls>MAHĀVY. 21,19</ls>.	bhs,sch	
duHKilatA	7-348-c	{#*duHKilatA#}¦ <lex>f.</lex> ? <ls>MAHĀVY. 85,16</ls>.	bhs,sch	
ekAkAra	7-327-c	{#*ekAkAra#}¦ <lex>m.</lex> {%ein <ab>best.</ab>%} <is>Samādhi</is> <ls>MAHĀVY. 21</ls>.	bhs,sch	
ekAvacAraka	7-327-d	{#*ekAvacAraka#}¦ <lex>Adj.</lex> <ls>MAHĀVY. 245,1027</ls>.	bhs,sch	
ekaDyam	7-327-a	{#*ekaDyam#}¦ <lex>Adv.</lex> {%zusammen%} <ls>MAHĀVY. 245</ls>. {#ekaDye#} <ab>dass.</ab> <ls>DIVYĀVAD. 35,24</ls>. <ls n="DIVYĀVAD.">40,22</ls>. Richtig {#Eka˚#}.	bhs,sch	
ekavIcika	7-327-b	{#*ekavIcika#}¦ <lex>Adj.</lex> als <ab>Bez.</ab> eines <is>Śrāvaka</is> {%in einem <ab>best.</ab> Stadium der Entwickelung%} <ls>MAHĀVY. 46</ls>.	bhs,sch	
eqAkzipuzpa	7-327-d	{#*eqAkzipuzpa#}¦ <lex>n.</lex> {%eine <ab>best.</ab> Blume%} <ls><ab>ebend.</ab> 240</ls>. <ab>Vgl.</ab> {#eqikAkzI#}.	bhs,sch	
eqameqa	7-327-d	{#*eqameqa#}¦ <lex>m.</lex> <ab>desgl.</ab> <ls><ab>ebend.</ab></ls>	bhs,sch	
gIrvant	7-338-b	{#*gIrvant#}¦ <lex>Adj.</lex> von <hom>2.</hom> {#gir#}.	sch,pwg	
gamBIraGozasvaranAdita	7-337-c	{#*gamBIraGozasvaranAdita#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines <is>Bodhisattva</is> <ls>MAHĀVY. 23,42</ls>.	bhs,sch	
gocarapariSudDa	7-339-a	{#*gocarapariSudDa#}¦ <lex>n.</lex> Titel eines Werkes <ls>MAHĀVY. 65,51</ls>.	bhs,sch	
grahika	7-339-c	{#*grahika#}¦ <lex>Adj.</lex> etwa {%bissig%} <ls>MAHĀVY. 127,8</ls>.	bhs,sch	
greDa	7-339-c	{#*greDa#}¦ <lex>m.</lex> {%Gier, Begierde%} <ls>MAHĀVY. 245,1145</ls>. [Page7-339-d] <ab>Vgl.</ab> <lang>Pāli</lang> {#geDa#}.	bhs,sch	
icCantika	7-321-a	{#*icCantika#}¦ <lex>Adj.</lex> {%Begierden fühlend%} oder {%zu fühlen anfangend%} <ls>MAHĀVY. 110</ls>.	bhs,sch	
jAnana	7-343-b	{#*jAnana#}¦ <lex>n.</lex> {%Ursprung, Geburtsstätte%} <ls>MAHĀVY. 101,12</ls>.	bhs,sch	
jAva	7-343-c	{#*jAva#}¦ <lex>m.</lex> ? <ls>MAHĀVY. 104,82</ls>.	bhs,sch	
jAvita	7-343-c	{#*jAvita#}¦ <lex>n.</lex> ? <ls>MAHĀVY. 217,27</ls>.	bhs,sch	
jYAnavatI	7-344-a	{#*jYAnavatI#}¦ <lex>f.</lex> <ab>N.</ab> einer <ab>buddh.</ab> <is>Dhāraṇī</is> <ls>MAHĀVY. 25,2</ls>.	bhs,sch	
jamBi	7-343-a	{#*jamBi#}¦ <ls>MAHĀVY. 189,25</ls> wohl nur fehlerhaft für {#jamBa#}.	bhs,sch	
jvalanolka	7-344-b	{#*jvalanolka#}¦ <lex>m.</lex> {%ein <ab>best.</ab>%} <is>Samādhi</is> <ls>MAHĀVY. 21,94</ls>.	bhs,sch	
kARqarika	7-331-b	{#*kARqarika#}¦ <lex>Adj.</lex> <ls>MAHĀVY. 271,28</ls>.	bhs,sch	
kArAkAra	7-331-c	{#*kArAkAra#}¦ <lex>m.</lex> {%ein <ab>best.</ab>%} <is>Samādhi</is> [Page7-331-d] <ls>MAHĀVY. 21,53</ls>.	bhs,sch	
kAravAlika	7-331-c	{#*kAravAlika#}¦ <lex>m.</lex> (fürstlicher) {%Schwertträger%} <ls>MAHĀVY. 186,59</ls>.	bhs,sch	
kAritra	7-331-d	{#*kAritra#}¦ <lex>n.</lex> = {#cezwita#} <ls>MAHĀVY. 245</ls>. <ls n="MAHĀVY.">844</ls>. <ab>Vgl.</ab> {#cAritra#}.	bhs,sch	
kAyakalisaMpramaTana	7-331-c	{#*kAyakalisaMpramaTana#}¦ <lex>m.</lex> {%ein <ab>best.</ab>%} <is>Samādhi</is> <ls>MAHĀVY. 21,116</ls>.	bhs,sch	
kAzWahAraka	7-332-b	{#*kAzWahAraka#}¦ <lex>m.</lex> {%Holzträger%} <ls>MAHĀVY. 186,106</ls>.	bhs,sch	
kUrparaka	7-333-d	{#*kUrparaka#}¦ = {#kUrpara#} {%Ellbogen%} <ls>MAHĀVY. 189,44</ls>.	bhs,sch	
kaSambakajAta	7-331-a	{#*kaSambakajAta#}¦ <lex>Adj.</lex> {%besudelt, unrein%} <ls>MAHĀVY. 278</ls>. <ab>Vgl.</ab> <lang>Pāli</lang> {#kasambu#}.	bhs,sch	
karmavAcanA	7-330-b	{#*karmavAcanA#}¦ <lex>f.</lex> {%der Antrag —, der Beschluss in einer Versammlung des Kapitels der Mönche%} <ls>MAHĀVY. 266</ls>.	bhs,sch	
karmaviBaNga	7-330-b	{#*karmaviBaNga#}¦ <lex>m.</lex> Titel eines Werkes <ls>MAHĀVY. 65,47</ls>.	bhs,sch	
kavacikA	7-331-a	{#*kavacikA#}¦ <lex>f.</lex> {%eine <ab>best.</ab> Waffe%} <ls>MAHĀVY. 238</ls>.	bhs,sch	
kftsnAyatana	7-334-a	{#*˚kftsnAyatana#}¦ <lex>n.</lex> {%eine <ab>best.</ab> mystische Uebung%} (den Geist zu concentriren <ab>u. s. w.</ab>), deren 10 <ls>MAHĀVY. 72</ls>.	bhs,sch	
klomaka	7-335-c	{#*klomaka#}¦ <lex>m.</lex> = {#kloman#} <ls>MAHĀVY. 189,90</ls>.	bhs,sch	
kowambaka	7-334-d	{#*kowambaka#}¦ <lex>m.</lex> {%eine Art Zeug%} <ls>MAHĀVY. 280,5</ls>.	bhs,sch	
kowanaka	7-334-d	{#*kowanaka#}¦ in {#gaRqI˚#}. <ab>Vgl.</ab> <hom>4.</hom> {#kuw#}.	bhs,sch	
kuladUzaka	7-333-b	{#*kuladUzaka#}¦ <lex>Adj.</lex> {%die Familie schändend%} <ls>MAHĀVY. 258</ls>.	bhs,sch	
kurukuci	7-333-b	{#*kurukuci#}¦ <lex>Adj.</lex> <ls>MAHĀVY. 127,50</ls> wohl = {#mAyAvin#}.	bhs,sch	
kutsanIya	7-333-a	{#*kutsanIya#}¦ <lex>Adj.</lex> {%tadelnswerth%} <ls>MAHĀVY. 132</ls>.	bhs,sch	
murucikA	7-368-d	{#*murucikA#}¦ <lex>f.</lex> ? <ls>MAHĀVY. 273,47</ls>.	bhs,sch	
niHsaraRIya	7-354-a	{#*niHsaraRIya#}¦ <lex>Adj.</lex> {%zum Befreien von Etwas geeignet%} <ls>MAHĀVY. 82,1</ls>.	bhs,sch	
niScikIrzA	7-353-c	{#*niScikIrzA#}¦ <lex>f.</lex> etwa {%der Wunsch zu vervollkommnen, — zu vermehren%} <ls>MAHĀVY. 127,15</ls>.	bhs,sch	
nigarhaRIya	7-352-c	{#*nigarhaRIya#}¦ <lex>n.</lex> (<ab>sc.</ab> {#karman#}) {%Tadel, Rüge%} <ls>MAHĀVY. 265,5</ls>. Richtig {#vi˚#}.	bhs,sch	
pElottika	7-359-d	{#*pElottika#}¦ <lex>n.</lex> <ls>MAHĀVY. 281,242</ls>. <ab>Vgl.</ab> <lang>Pāli</lang> {#pilotikA#}.	bhs,sch	
paRitaka	7-355-c	{#*paRitaka#}¦ <lex>n.</lex> {%Wette%} <ls>MAHĀVY. 281,215</ls>.	bhs,sch	
padmavyUhA	7-355-d	{#*padmavyUhA#}¦ <lex>f.</lex> {%eine <ab>best.</ab>%} <is>Dhāraṇī</is> [Page7-356-a] <ls>MAHĀVY. 25,7</ls>.	bhs,sch	
paligoDa	7-357-b	{#*paligoDa#}¦ <lex>m.</lex> {%Verbot, Verhinderung%} <ls>MAHĀVY. 245,122</ls>. <ab>Vgl.</ab> {#parigoDa#} und {#paliboDa#} in den <is>Aśoka</is>-Inschriften.	bhs,sch	
paraMparaBojana	7-356-b	{#*paraMparaBojana#}¦ <lex>n.</lex> {%das von einem Mahle zum andern Gehen%} <ls>MAHĀVY. 261,35</ls>.	bhs,sch	
parijetar	7-356-c	{#*parijetar#}¦ <ab>Nom. ag.</ab> {%Sieger%} <ls>MAHĀVY. 126,62</ls>.	bhs,sch	
paripUri	7-356-c	{#*paripUri#}¦ {%Erfütlung%} <ls>MAHĀVY. 244,71</ls>. Richtig <lang>Pāli</lang> {#pAripUrI#}.	bhs,sch	
popPala	7-359-d	{#*popPala#}¦ <lex>n.</lex> prākritisch für {#pUgaPala#} <ls>MAHĀVY. 231,33</ls>.	bhs,sch	
praSAntaviniScayaprAtihAryanirdeSa	7-362-a	{#*praSAntaviniScayaprAtihAryanirdeSa#}¦ <lex>m.</lex> Titel eines <is>Sūtra</is> <ls>MAHĀVY. 65,52</ls>.	bhs,sch	
ratirAgA	7-370-c	{#*ratirAgA#}¦ <lex>f.</lex> <ab>N. pr.</ab> einer <is>Tantra</is>Gottheit <ls>MAHĀVY. 197,56</ls>.	bhs,sch	
saMkaTya	7-379-c	{#*saMkaTya#}¦ = {#sAM˚#} <ls>MAHĀVY. 245</ls>.	bhs,sch	
saMmodanIya	7-381-c	{#*saMmodanIya#}¦ <lex>Adj.</lex> {%freundlich%} <ls>MAHĀVY. 145</ls>.	bhs,sch	
saMmuKavinaya	7-381-b	{#*saMmuKavinaya#}¦ <lex>m.</lex> etwa {%ein Verweis unter vier Augen%} <ls>MAHĀVY. 264</ls>.	bhs,sch	
saMpraKyAna	7-381-b	{#*saMpraKyAna#}¦ <lex>n.</lex> <ls>MAHĀVY. 133</ls>.	bhs,sch	
saMprajAna	7-381-b	{#*saMprajAna#}¦ (!) <ab>dass.</ab> <ls>MAHĀVY. 281</ls>.	bhs,sch	
saMprayuktaka	7-381-b	{#*saMprayuktaka#}¦ <lex>Adj.</lex> {%mitwirkend%} <ls>MAHĀVY. 114</ls>.	sch,ap	
sarvaroDaviroDasaMpraSamana	7-382-a	{#*sarvaroDaviroDasaMpraSamana#}¦ <lex>m.</lex> {%ein <ab>best.</ab>%} <is>Samādhi</is> <ls><ab>ebend.</ab> 21,101</ls>.	bhs,sch	
talavarga	7-345-b	{#*talavarga#}¦ <lex>m.</lex> {%ein <ab>best.</ab> Amt%} oder {%Beruf%} 〔186,54〕.	bhs,sch	
tilakocavaka	7-345-d	{#*tilakocavaka#}¦ <lex>n.</lex> {%eine Art Pfeil%} <ls>MAHĀVY. 238,29</ls>.	bhs,sch	
tuRava	7-346-a	{#*tuRava#}¦ <lex>m.</lex> {%eine Art Trommel%} <ls>MAHĀVY. 218,8</ls>. <ab>Vgl.</ab> <lang>Pāli</lang> {#tiRava#}.	bhs,sch	
uBayatoBAgavimukta	7-325-d	{#*uBayatoBAgavimukta#}¦ <lex>Adj.</lex> <ab>Bez.</ab> eines <is>Śrāvaka</is> {%auf einer <ab>best.</ab> Stufe seiner Entwickelung%} <ls>MAHĀVY. 46</ls>.	bhs,sch	
ucCaNga	7-322-b	{#*ucCaNga#}¦ <lex>n.</lex> {%eine <ab>best.</ab> hohe Zahl%} <ls>MAHĀVY. 248</ls>. <ab>Vgl.</ab> {#utsaNga#}.	bhs,sch	
udguraRa	7-323-d	{#*udguraRa#} und {#*udgUraRa#}¦ <lex>n.</lex> {%das Drohen [Page7-324-a] mit der Hand%} <ls>MAHĀVY. 261,53</ls>.	bhs,sch	
ullaNGikA	7-326-a	{#*ullaNGikA#}¦ <lex>f.</lex> {%Sprung%} <ls>MAHĀVY. 263,24</ls>.	bhs,sch	
ulluka	7-326-a	{#*ulluka#}¦ <lex>m.</lex> = {#uluka#} <ls>MAHĀVY. 167,53</ls>.	bhs,sch	
uluka	7-326-a	{#*uluka#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines Schlangendamons <ls>MAHĀVY. 167,53</ls>. <ab>Vgl.</ab> {#ulUka, ulluka#}.	bhs,sch	
upacAyaka	7-324-c	{#*˚upacAyaka#}¦ <lex>Adj.</lex> {%ehrend%} <ls>MAHĀVY. 126</ls>.	bhs,sch	
upadrotar	7-324-d	{#*upadrotar#}¦ <ab>Nom. ag.</ab> {%der Jmd anführt, Angreifer%} <ls>MAHĀVY. 146</ls>.	bhs,sch	
uparima	7-325-a	{#*uparima#}¦ <lex>Adj.</lex> {%der obere%} <ls>MAHĀVY. 15</ls>.	bhs,sch	
upaskIrRa	1-299-a	{#*upaskIrRa#}¦ <lex>n.</lex> etwa {%das Geschundenwerden%}.	sch,vcp	
utkArika	7-322-c	{#*utkArika#}¦ <ls>MAHĀVY. 245,1210</ls>.	bhs,sch	
utkfzwikA	7-322-c	{#*utkfzwikA#}¦ <ls>MAHĀVY. 263,18</ls>. <ls n="MAHĀVY. 263,">84</ls>.	bhs,sch	
utkuwukikA	7-322-c	{#*utkuwukikA#}¦ <lex>f.</lex> <ab>Instr.</ab> {%kauernd%} <ls>MAHĀVY. 263,25</ls> ({#ukku˚#} <ab>gedr.</ab>).	bhs,sch	
