dict	L	pc_page	pc_col	k1	k2	line	batch	batch_date	process	directive	tag_context	old	new
mw	21980	126	1	aho	aho	78943	batch_20240623	2024-06-23	human	new	text	<hom>2.</hom> <s>aho</s> ¦ <lex>ind.</lex> a particle (implying joyful or painful surprise) Ah! (of enjoyment or satisfaction) Oh! (of fatigue, discontent, compassion, sorrow, regret) Alas! Ah! (of praise <ab>cf.</ab> <ls>Pāṇ. viii, 1, 40</ls> <ab>seq.</ab>) Bravo! (of reproach) Fie! (of calling, <ls>Kum. iii, 20</ls>) Ho! Halo! (of contempt) Pshaw! Often combined with other particles of similar signification, as <s>aho Dik</s> or <s>Dig aho</s>, <s>aho bata</s>, &c.<info lex="ind"/>	<hom>2.</hom> <s>aho</s> ¦ <lex>ind.</lex> a particle (implying joyful or painful surprise) Ah! (of enjoyment or satisfaction) Oh! (of fatigue, discontent, compassion, sorrow, regret) Alas! Ah! (of praise, <ab>cf.</ab> <ls>Pāṇ. viii, 1, 40</ls> <ab>seq.</ab>) Bravo! (of reproach) Fie! (of calling, <ls>Kum. iii, 20</ls>) Ho! Halo! (of contempt) Pshaw! Often combined with other particles of similar signification, as <s>aho Dik</s> or <s>Dig aho</s>, <s>aho bata</s>, &c.<info lex="ind"/>
mw	24409	140	1	Anandamaya	A-nanda—maya	87264	batch_20240623	2024-06-23	human	new	text	<s>A-nanda—maya</s> ¦ <lex>n.</lex> (<ab>scil.</ab> <s>brahman</s>) the supreme spirit (as consisting of pure happiness <ab>cf.</ab> <s>Ananda</s> above)<info lex="n"/>	<s>A-nanda—maya</s> ¦ <lex>n.</lex> (<ab>scil.</ab> <s>brahman</s>) the supreme spirit (as consisting of pure happiness, <ab>cf.</ab> <s>Ananda</s> above)<info lex="n"/>
mw	28693.5	164	2	iLA	i/LA	102107	batch_20240623	2024-06-23	human	new	text	<div n="P"/> (metaphorically <ab>cf.</ab> <s>id</s>), stream or flow of praise and worship (personified as the goddess of sacred speech and action, invoked together with <s1 slp1="aditi">Aditi</s1> and other deities, but especially in the <s1 slp1="AprI">Āprī</s1> hymns together with <s1 slp1="sarasvatI">Sarasvatī</s1> and <s1 slp1="mahI">Mahī</s1> or <s1 slp1="BAratI">Bhāratī</s1>), <ls>RV.</ls>; <ls>AV.</ls>; <ls>VS.</ls> &c. <pb n="164,3"/><info lex="inh"/>	<div n="P"/> (metaphorically, <ab>cf.</ab> <s>id</s>), stream or flow of praise and worship (personified as the goddess of sacred speech and action, invoked together with <s1 slp1="aditi">Aditi</s1> and other deities, but especially in the <s1 slp1="AprI">Āprī</s1> hymns together with <s1 slp1="sarasvatI">Sarasvatī</s1> and <s1 slp1="mahI">Mahī</s1> or <s1 slp1="BAratI">Bhāratī</s1>), <ls>RV.</ls>; <ls>AV.</ls>; <ls>VS.</ls> &c. <pb n="164,3"/><info lex="inh"/>
mw	28694.10	164	2	iqA	i/qA	102127	batch_20240623	2024-06-23	human	new	text	¦ (metaphorically <ab>cf.</ab> <s>id</s>), stream or flow of praise and worship (personified as the goddess of sacred speech and action, invoked together with <s1 slp1="aditi">Aditi</s1> and other deities, but especially in the <s1 slp1="AprI">Āprī</s1> hymns together with <s1 slp1="sarasvatI">Sarasvatī</s1> and <s1 slp1="mahI">Mahī</s1> or <s1 slp1="BAratI">Bhāratī</s1>), <ls>RV.</ls>; <ls>AV.</ls>; <ls>VS.</ls> &c. <pb n="164,3"/><info lex="inh"/>	¦ (metaphorically, <ab>cf.</ab> <s>id</s>), stream or flow of praise and worship (personified as the goddess of sacred speech and action, invoked together with <s1 slp1="aditi">Aditi</s1> and other deities, but especially in the <s1 slp1="AprI">Āprī</s1> hymns together with <s1 slp1="sarasvatI">Sarasvatī</s1> and <s1 slp1="mahI">Mahī</s1> or <s1 slp1="BAratI">Bhāratī</s1>), <ls>RV.</ls>; <ls>AV.</ls>; <ls>VS.</ls> &c. <pb n="164,3"/><info lex="inh"/>
mw	32826	187	2	udgrahaRa	ud-gra/haRa	116708	batch_20240623	2024-06-23	human	new	text	¦ recovering (a debt <ab>cf.</ab> <s>fRo<srs/>dgr°</s>)<info lex="inh"/>	¦ recovering (a debt, <ab>cf.</ab> <s>fRo<srs/>dgr°</s>)<info lex="inh"/>
mw	34559	198	1	upajarasam	upa-jarasam	122616	batch_20240623	2024-06-23	human	new	text	<s>upa-jarasam</s> ¦ <lex>ind.</lex> towards or near old age <ab>cf.</ab> <ls>Pāṇ. v, 4, 107.</ls><info lex="ind"/>	<s>upa-jarasam</s> ¦ <lex>ind.</lex> towards or near old age, <ab>cf.</ab> <ls>Pāṇ. v, 4, 107.</ls><info lex="ind"/>
mw	41371	241	1	kaMsa	kaMsa/	145866	batch_20240623	2024-06-23	human	new	text	¦ (a noun ending in <s>as</s> followed by <s>kaMsa</s> in a compound does not change its final <ab>cf.</ab> <s>ayas-kaMsa</s>, &c., <ls>Pāṇ. viii, 3, 46</ls>)<info lex="inh"/>	¦ (a noun ending in <s>as</s> followed by <s>kaMsa</s> in a compound does not change its final, <ab>cf.</ab> <s>ayas-kaMsa</s>, &c., <ls>Pāṇ. viii, 3, 46</ls>)<info lex="inh"/>
mw	41906	243	2	kawa	ka/wa	147589	batch_20240623	2024-06-23	human	new	text	¦ (<s>kawa</s> <ab>ifc.</ab> is considered as a suffix <ab>cf.</ab> <s>ut-kawa</s>, <s>pra-kawa</s>, &c.)<info lex="inh"/>	¦ (<s>kawa</s> <ab>ifc.</ab> is considered as a suffix, <ab>cf.</ab> <s>ut-kawa</s>, <s>pra-kawa</s>, &c.)<info lex="inh"/>
mw	44825	256	3	karRajit	karRa—jit	157177	batch_20240623	2024-06-23	human	new	text	<s>karRa—jit</s> ¦ <lex>m.</lex> ‘the conqueror of <s1 slp1="karRa">Karṇa</s1>’, <ab>N.</ab> of <s1 slp1="arjuna">Arjuna</s1> (<s1 slp1="karRa">Karṇa</s1> having taken the part of the <s1 slp1="kuru">Kuru</s1>s, was killed by <s1 slp1="arjuna">Arjuna</s1> in one of the great battles between them and the <s1 slp1="pARqu">Pāṇḍu</s1>s <ab>cf.</ab> <ls>MBh. viii, 4798 f.</ls>), <ls>L.</ls><info lex="m"/>	<s>karRa—jit</s> ¦ <lex>m.</lex> ‘the conqueror of <s1 slp1="karRa">Karṇa</s1>’, <ab>N.</ab> of <s1 slp1="arjuna">Arjuna</s1> (<s1 slp1="karRa">Karṇa</s1> having taken the part of the <s1 slp1="kuru">Kuru</s1>s, was killed by <s1 slp1="arjuna">Arjuna</s1> in one of the great battles between them and the <s1 slp1="pARqu">Pāṇḍu</s1>s, <ab>cf.</ab> <ls>MBh. viii, 4798 f.</ls>), <ls>L.</ls><info lex="m"/>
mw	45114	257	3	kartf	kartf/	158089	batch_20240623	2024-06-23	human	new	text	¦ doing any particular action or business, applying one's self to any occupation (the business or occupation preceding in the compound <ab>cf.</ab> <s>suvarRa-kartf</s>, <s>rAjya-k°</s>, &c.)<info lex="inh"/>	¦ doing any particular action or business, applying one's self to any occupation (the business or occupation preceding in the compound, <ab>cf.</ab> <s>suvarRa-kartf</s>, <s>rAjya-k°</s>, &c.)<info lex="inh"/>
mw	45762	260	3	kalaSa	kala/Sa	160277	batch_20240623	2024-06-23	human	new	text	<s>kala/Sa</s> ¦ <lex>m.</lex> (<lex type="hwalt">n.</lex>, <ls>L.</ls>) a water-pot, pitcher, jar, dish, <ls>RV.</ls> &c., <ls>Śak.</ls>; <ls>Hit.</ls> &c. (the breasts of a woman are frequently compared to jars <ab>cf.</ab> <s>stana-k°</s> and <s>kumBa</s>)<info lex="m:n"/>	<s>kala/Sa</s> ¦ <lex>m.</lex> (<lex type="hwalt">n.</lex>, <ls>L.</ls>) a water-pot, pitcher, jar, dish, <ls>RV.</ls> &c., <ls>Śak.</ls>; <ls>Hit.</ls> &c. (the breasts of a woman are frequently compared to jars, <ab>cf.</ab> <s>stana-k°</s> and <s>kumBa</s>)<info lex="m:n"/>
mw	46945	266	3	kAka	kAka	164128	batch_20240623	2024-06-23	human	new	text	<s>kAka</s> ¦ <lex>m.</lex> (<ab>onomat.</ab> imitation of the cawing of the crow <ab>cf.</ab> √ <s>kE</s>, <ls>Nir. iii, 18</ls>; <ls>Uṇ.</ls>), a crow, <ls>AdbhBr.</ls>; <ls>Mn.</ls>; <ls>MBh.</ls>; <ls>R.</ls>; <ls>Suśr.</ls>; <ls>Hit.</ls><info lex="m"/>	<s>kAka</s> ¦ <lex>m.</lex> (<ab>onomat.</ab> imitation of the cawing of the crow, <ab>cf.</ab> √ <s>kE</s>, <ls>Nir. iii, 18</ls>; <ls>Uṇ.</ls>), a crow, <ls>AdbhBr.</ls>; <ls>Mn.</ls>; <ls>MBh.</ls>; <ls>R.</ls>; <ls>Suśr.</ls>; <ls>Hit.</ls><info lex="m"/>
mw	47017	267	1	kAkaDvaja	kAka—Dvaja	164353	batch_20240623	2024-06-23	human	new	text	<s>kAka—Dvaja</s> ¦ <lex>m.</lex> submarine fire (personified in <ns>Hindū</ns> mythology <ab>cf.</ab> <s>Orva</s>), <ls>L.</ls><info lex="m"/>	<s>kAka—Dvaja</s> ¦ <lex>m.</lex> submarine fire (personified in <ns>Hindū</ns> mythology, <ab>cf.</ab> <s>Orva</s>), <ls>L.</ls><info lex="m"/>
mw	47500	269	2	kARqa	kA/Rqa,kARqa/	165853	batch_20240623	2024-06-23	human	new	text	<s>kA/Rqa</s> [or <s>kARqa/</s>, <ls>TS. vii</ls>], ¦ <s>as</s>, <s>am</s>, <lex>m.</lex> <lex>n.</lex> (<ab>ifc.</ab> <lex type="hwifc">f(<s>A</s> or <s>I</s>). </lex>) [<ab>cf.</ab> <s>KaRqa</s>, with which in some of its senses <s>kARqa</s> is confounded] a single joint of the stalk or stem of a plant, such as a bamboo or reed or cane (<ab>i.e.</ab> the portion from one knot to another <ab>cf.</ab> <s>tri-k°</s>), any part or portion, section, chapter, division of a work or book (<ab>cf.</ab> <s>tri-k°</s>), any distinct portion or division of an action or of a sacrificial rite (as that belonging to the gods or to the manes), <ls>AV.</ls>; <ls>TS.</ls>; <ls>VS.</ls><info lex="m:f#A:f#I:n"/><info or="47500,kARqa"/>	<s>kA/Rqa</s> [or <s>kARqa/</s>, <ls>TS. vii</ls>], ¦ <s>as</s>, <s>am</s>, <lex>m.</lex> <lex>n.</lex> (<ab>ifc.</ab> <lex type="hwifc">f(<s>A</s> or <s>I</s>). </lex>) [<ab>cf.</ab> <s>KaRqa</s>, with which in some of its senses <s>kARqa</s> is confounded] a single joint of the stalk or stem of a plant, such as a bamboo or reed or cane (<ab>i.e.</ab> the portion from one knot to another, <ab>cf.</ab> <s>tri-k°</s>), any part or portion, section, chapter, division of a work or book (<ab>cf.</ab> <s>tri-k°</s>), any distinct portion or division of an action or of a sacrificial rite (as that belonging to the gods or to the manes), <ls>AV.</ls>; <ls>TS.</ls>; <ls>VS.</ls><info lex="m:f#A:f#I:n"/><info or="47500,kARqa"/>
mw	48531	274	2	kAraRa	kAraRa	169186	batch_20240623	2024-06-23	human	new	text	¦ a cause (in <ab>phil.</ab> <ab>i.e.</ab> that which is invariably antecedent to some product <ab>cf.</ab> <s>samavA<srs/>yi-k°</s>, <s>asamavA<srs/>yi-k°</s>, <s>nimitta-k°</s>)<info lex="inh"/>	¦ a cause (in <ab>phil.</ab> <ab>i.e.</ab> that which is invariably antecedent to some product, <ab>cf.</ab> <s>samavA<srs/>yi-k°</s>, <s>asamavA<srs/>yi-k°</s>, <s>nimitta-k°</s>)<info lex="inh"/>
mw	49612	279	1	kAlya	kAlya	172649	batch_20240623	2024-06-23	human	new	text	¦ pleasant, agreeable, auspicious (as discourse <ab>cf.</ab> <s>kalya</s>), <ls>L.</ls><info lex="inh"/>	¦ pleasant, agreeable, auspicious (as discourse, <ab>cf.</ab> <s>kalya</s>), <ls>L.</ls><info lex="inh"/>
mw	50400	283	1	kiMnara	kiM—nara	175192	batch_20240623	2024-06-23	human	new	text	<s>kiM—nara</s> <hom>b</hom> ¦ <lex>m.</lex> ‘what sort of man?’ a mythical being with a human figure and the head of a horse (or with a horse's body and the head of a man, <ls>Śiś. iv, 38</ls>; originally perhaps a kind of monkey <ab>cf.</ab> <s>vA-nara</s>; in later times (like the <s1 slp1="nara">Nara</s1>s) reckoned among the <s1 slp1="ganDarva">Gandharva</s1>s or celestial choristers, and celebrated as musicians; also attached to the service of <s1 slp1="kubera">Kubera</s1>; (with <ns>Jain</ns>s) one of the eight orders of the <s1 slp1="vyantara">Vyantara</s1>s), <ls>Mn.</ls>; <ls>MBh.</ls> &c.<info lex="m"/>	<s>kiM—nara</s> <hom>b</hom> ¦ <lex>m.</lex> ‘what sort of man?’ a mythical being with a human figure and the head of a horse (or with a horse's body and the head of a man, <ls>Śiś. iv, 38</ls>; originally perhaps a kind of monkey, <ab>cf.</ab> <s>vA-nara</s>; in later times (like the <s1 slp1="nara">Nara</s1>s) reckoned among the <s1 slp1="ganDarva">Gandharva</s1>s or celestial choristers, and celebrated as musicians; also attached to the service of <s1 slp1="kubera">Kubera</s1>; (with <ns>Jain</ns>s) one of the eight orders of the <s1 slp1="vyantara">Vyantara</s1>s), <ls>Mn.</ls>; <ls>MBh.</ls> &c.<info lex="m"/>
mw	51845	289	3	kuRqa	kuRqa	179735	batch_20240623	2024-06-23	human	new	text	¦ a round hole in the ground (for receiving and preserving water or fire <ab>cf.</ab> <s>agni-kuRqa</s>), pit, well, spring or basin of water (especially consecrated to some holy purpose or person), <ls>MBh.</ls>; <ls>R.</ls> &c.<info lex="inh"/>	¦ a round hole in the ground (for receiving and preserving water or fire, <ab>cf.</ab> <s>agni-kuRqa</s>), pit, well, spring or basin of water (especially consecrated to some holy purpose or person), <ls>MBh.</ls>; <ls>R.</ls> &c.<info lex="inh"/>
mw	52133	291	1	kuntI	kuntI	180685	batch_20240623	2024-06-23	human	new	text	out of curiosity she invoked the Sun, by whom she had a child <ab>cf.</ab> <s>karRa</s>;	out of curiosity she invoked the Sun, by whom she had a child, <ab>cf.</ab> <s>karRa</s>;
mw	52279	292	1	kumAra	kumAra/	181183	batch_20240623	2024-06-23	human	new	text	¦ <ab>N.</ab> of <s1 slp1="skanda">Skanda</s1> (or <s1 slp1="kArttikeya">Kārttikeya</s1> <ab>q.v.</ab>; represented as a beautiful youth; also as the author of certain grammatical <s1 slp1="sUtra">Sūtra</s1>s <ab>cf.</ab> <s>kalA<srs/>pa</s>; also as causing certain diseases, <ls>Suśr.</ls>), <ls>MBh.</ls>; <ls>Hariv.</ls> &c.<info lex="inh"/>	¦ <ab>N.</ab> of <s1 slp1="skanda">Skanda</s1> (or <s1 slp1="kArttikeya">Kārttikeya</s1> <ab>q.v.</ab>; represented as a beautiful youth; also as the author of certain grammatical <s1 slp1="sUtra">Sūtra</s1>s, <ab>cf.</ab> <s>kalA<srs/>pa</s>; also as causing certain diseases, <ls>Suśr.</ls>), <ls>MBh.</ls>; <ls>Hariv.</ls> &c.<info lex="inh"/>
mw	60589	333	3	kzOranakzatra	kzOra—nakzatra	207730	batch_20240623	2024-06-23	human	new	text	<s>kzOra—nakzatra</s> ¦ <lex>n.</lex> (= <s>Kzura-n°</s>) any lunar mansion auspicious for shaving <ab>cf.</ab> <ls>VarBṛS. iic, 12.</ls><info lex="n"/>	<s>kzOra—nakzatra</s> ¦ <lex>n.</lex> (= <s>Kzura-n°</s>) any lunar mansion auspicious for shaving, <ab>cf.</ab> <ls>VarBṛS. iic, 12.</ls><info lex="n"/>
mw	62241	341	3	gaNgADara	gaNgA—Dara	213034	batch_20240623	2024-06-23	human	new	text	¦ ‘Ganges-supporter’, <ab>N.</ab> of <s1 slp1="Siva">Śiva</s1> (according to the legend the Ganges in its descent from heaven first alighted on the head of <s1 slp1="Siva">Śiva</s1> and continued for a long period entangled in his hair <ab>cf.</ab> <ls>R. i, <ab>ch.</ab> 44</ls>)<info lex="inh"/>	¦ ‘Ganges-supporter’, <ab>N.</ab> of <s1 slp1="Siva">Śiva</s1> (according to the legend the Ganges in its descent from heaven first alighted on the head of <s1 slp1="Siva">Śiva</s1> and continued for a long period entangled in his hair, <ab>cf.</ab> <ls>R. i, <ab>ch.</ab> 44</ls>)<info lex="inh"/>
mw	62322	342	1	gajakUrmASin	gaja—kUrmASin	213293	batch_20240623	2024-06-23	human	new	text	<s>gaja—kUrmA<srs/>Sin</s> ¦ <lex>m.</lex> ‘devouring an elephant and a tortoise’, <ab>N.</ab> of <s1 slp1="garuqa">Garuḍa</s1> (in allusion to his swallowing both those animals whilst engaged in a contest with each other <ab>cf.</ab> <ls>MBh. i, 1413</ls>), <ls>L.</ls><info lex="m"/>	<s>gaja—kUrmA<srs/>Sin</s> ¦ <lex>m.</lex> ‘devouring an elephant and a tortoise’, <ab>N.</ab> of <s1 slp1="garuqa">Garuḍa</s1> (in allusion to his swallowing both those animals whilst engaged in a contest with each other, <ab>cf.</ab> <ls>MBh. i, 1413</ls>), <ls>L.</ls><info lex="m"/>
mw	63096	345	2	ganDamAtf	ganDa—mAtf	215777	batch_20240623	2024-06-23	human	new	text	<s>ganDa—mAtf</s> ¦ <lex>f.</lex> ‘mother of odour’, the earth (the quality of odour residing in earth <ab>cf.</ab> <ls>Mn. i, 78</ls>), <ls>L.</ls><info lex="f"/>	<s>ganDa—mAtf</s> ¦ <lex>f.</lex> ‘mother of odour’, the earth (the quality of odour residing in earth, <ab>cf.</ab> <ls>Mn. i, 78</ls>), <ls>L.</ls><info lex="f"/>
mw	63409	346	3	gam	gam	216840	batch_20240623	2024-06-23	human	new	text	for <ab>Ā.</ab> with prepositions <ab>cf.</ab> <ls>Pāṇ. i, 2, 13</ls>; 2nd <ab>fut.</ab> <s>gamizyati</s>, <ls>AV.</ls> &c.; 1st <ab>fut.</ab> <s>ga/ntA</s> [<ls>Pāṇ. vii, 2, 58</ls>] <ls>RV.</ls> &c.; <ab>perf.</ab> 1. <ab>sg.</ab> <s>jagamA</s> [<ls>RV.</ls>], 3. <ab>sg.</ab> <s>jagAma</s>, 2. <ab>du.</ab> <s>jagmaTur</s>, 3. <ab>pl.</ab> <s>jagmu/r</s>, <ls>RV.</ls> &c.; <ab>p.</ab> <s>jaganva/s</s> [<ls>RV.</ls> &c.] or <s>jagmivas</s>, <ls>Pāṇ. vii, 2, 68</ls> <lex type="part">f.</lex> <s>jagmu/zI</s>, <ls>RV.</ls> &c. <pb n="347,1"/>; <lang>Ved.</lang> <ab>inf.</ab> <s>ga/ntave</s>, <s>ga/ntavE/</s>; <lang>Class.</lang> <ab>inf.</ab> <s>gantum</s>: <lang>Ved.</lang> <ab>ind.p.</ab> <s>gatvAya</s>, <s>gatvI/</s>; <lang>Class.</lang> <ab>ind.p.</ab> <s>gatvA/</s> [<ls>AV.</ls> &c.], with prepositions <s>-gamya</s> or <s>-gatya</s>, <ls>Pāṇ. vi, 4, 38</ls>)	for <ab>Ā.</ab> with prepositions, <ab>cf.</ab> <ls>Pāṇ. i, 2, 13</ls>; 2nd <ab>fut.</ab> <s>gamizyati</s>, <ls>AV.</ls> &c.; 1st <ab>fut.</ab> <s>ga/ntA</s> [<ls>Pāṇ. vii, 2, 58</ls>] <ls>RV.</ls> &c.; <ab>perf.</ab> 1. <ab>sg.</ab> <s>jagamA</s> [<ls>RV.</ls>], 3. <ab>sg.</ab> <s>jagAma</s>, 2. <ab>du.</ab> <s>jagmaTur</s>, 3. <ab>pl.</ab> <s>jagmu/r</s>, <ls>RV.</ls> &c.; <ab>p.</ab> <s>jaganva/s</s> [<ls>RV.</ls> &c.] or <s>jagmivas</s>, <ls>Pāṇ. vii, 2, 68</ls> <lex type="part">f.</lex> <s>jagmu/zI</s>, <ls>RV.</ls> &c. <pb n="347,1"/>; <lang>Ved.</lang> <ab>inf.</ab> <s>ga/ntave</s>, <s>ga/ntavE/</s>; <lang>Class.</lang> <ab>inf.</ab> <s>gantum</s>: <lang>Ved.</lang> <ab>ind.p.</ab> <s>gatvAya</s>, <s>gatvI/</s>; <lang>Class.</lang> <ab>ind.p.</ab> <s>gatvA/</s> [<ls>AV.</ls> &c.], with prepositions <s>-gamya</s> or <s>-gatya</s>, <ls>Pāṇ. vi, 4, 38</ls>)
mw	63787	348	3	garuqa	garuqa/	218037	batch_20240623	2024-06-23	human	new	text	<s1 slp1="aruRa">Aruṇa</s1>, the charioteer of the sun or the personified dawn, is said to be the elder [or younger <ab>cf.</ab> <ls>RTL. p. 104</ls>] brother of <s1 slp1="garuqa">Garuḍa</s1>;	<s1 slp1="aruRa">Aruṇa</s1>, the charioteer of the sun or the personified dawn, is said to be the elder [or younger, <ab>cf.</ab> <ls>RTL. p. 104</ls>] brother of <s1 slp1="garuqa">Garuḍa</s1>;
